0	572	157	252	403	534	461	113	158	564	110	90	651	479	502	212	542	357	337	284	808	137	299	536	431	662	778	268	290	244	442	495	620	673	647	633	760	810	835	732	451	183	161	224
572	0	517	465	170	332	183	459	529	93	596	562	85	104	102	492	42	450	504	500	282	599	380	178	239	178	249	322	373	329	368	265	322	436	283	168	191	457	440	361	132	394	584	542
157	517	0	99	363	574	369	151	284	535	92	234	585	442	429	321	496	445	443	127	714	288	359	532	443	643	750	281	166	208	500	375	647	722	528	537	692	839	854	751	385	205	307	351
252	465	99	0	331	581	299	212	357	500	189	319	525	407	369	382	452	487	497	49	635	375	392	513	440	610	709	294	92	205	521	287	644	731	438	460	627	832	840	740	333	239	389	420
403	170	363	331	0	290	151	289	363	172	435	392	252	79	127	332	139	322	368	374	432	431	233	185	148	281	387	155	245	162	277	248	330	432	349	275	361	509	511	414	78	223	418	383
534	332	574	581	290	0	434	441	408	242	614	474	399	263	378	348	293	220	276	629	598	481	236	153	146	246	352	293	511	376	102	533	93	149	604	498	471	276	307	207	352	372	452	377
461	183	369	299	151	434	0	357	468	249	457	478	227	176	80	452	187	467	509	327	348	527	372	304	297	354	431	274	208	228	428	99	458	567	207	171	328	621	611	523	81	311	521	503
113	459	151	212	289	441	357	0	146	452	172	125	539	366	392	172	428	294	292	257	700	179	214	427	325	551	666	159	213	133	358	402	522	586	552	527	648	714	735	631	340	73	184	208
158	529	284	357	363	408	468	146	0	496	266	73	614	426	484	61	491	208	180	401	794	75	178	446	335	578	698	207	356	242	308	530	499	536	673	629	720	683	715	614	430	159	55	67
564	93	535	500	172	242	249	452	496	0	605	539	158	93	173	451	64	385	443	540	359	570	331	88	173	110	216	299	410	331	291	343	228	343	376	261	243	372	361	275	177	381	550	498
110	596	92	189	435	614	457	172	266	605	0	200	668	515	513	316	572	456	442	206	804	246	385	592	495	710	821	328	258	273	529	468	694	758	621	627	776	886	906	803	466	243	272	333
90	562	234	319	392	474	478	125	73	539	200	0	645	462	505	132	527	280	253	358	816	56	239	498	388	629	747	241	337	250	377	527	564	606	676	645	753	750	780	678	452	170	73	136
651	85	585	525	252	399	227	539	614	158	668	645	0	189	156	578	126	533	589	554	201	683	465	246	321	199	226	406	432	407	447	287	374	487	257	134	109	481	453	390	202	475	669	627
479	104	442	407	79	263	176	366	426	93	515	462	189	0	115	388	65	350	403	447	383	498	276	127	144	203	307	221	318	241	279	275	281	391	343	246	294	448	445	351	96	297	481	438
502	102	429	369	127	378	80	392	484	173	513	505	156	115	0	457	108	447	495	401	310	549	361	237	254	274	351	278	276	259	389	170	391	503	229	147	263	545	533	448	53	335	539	509
212	492	321	382	332	348	452	172	61	451	316	132	578	388	457	0	453	147	126	429	765	132	124	395	285	528	648	179	367	236	248	522	440	475	659	604	682	623	655	555	404	157	105	51
542	42	496	452	139	293	187	428	491	64	572	527	126	65	108	453	0	407	462	489	325	563	339	141	196	167	256	286	360	301	326	278	290	404	315	205	229	437	425	340	121	361	547	502
357	450	445	487	322	220	467	294	208	385	456	280	533	350	447	147	407	0	59	536	732	273	101	310	213	437	553	211	448	300	118	555	313	331	671	592	628	485	523	426	400	248	242	162
337	504	443	497	368	276	509	292	180	443	442	253	589	403	495	126	462	59	0	545	786	235	136	369	269	496	613	242	467	323	175	593	369	378	715	641	685	535	576	481	446	259	203	122
284	500	127	49	374	629	327	257	401	540	206	358	554	447	401	429	489	536	545	0	652	413	441	557	488	651	746	343	129	254	570	300	691	779	445	480	654	878	885	785	369	288	429	465
808	282	714	635	432	598	348	700	794	359	804	816	201	383	310	765	325	732	786	652	0	860	659	447	521	375	345	587	549	568	648	351	564	673	228	176	143	637	597	557	364	645	849	816
137	599	288	375	431	481	527	179	75	570	246	56	683	498	549	132	563	273	235	413	860	0	253	521	410	654	773	277	392	298	380	580	572	604	727	691	791	754	788	687	495	216	32	113
299	380	359	392	233	236	372	214	178	331	385	239	465	276	361	124	339	101	136	441	659	253	0	271	161	404	523	109	347	198	144	457	324	375	578	508	567	512	540	438	311	155	228	167
536	178	532	513	185	153	304	427	446	88	592	498	246	127	237	395	141	310	369	557	447	521	271	0	110	132	252	267	429	323	207	403	154	265	456	346	326	324	327	229	224	354	498	438
431	239	443	440	148	146	297	325	335	173	495	388	321	144	254	285	196	213	269	488	521	410	161	110	0	243	363	166	367	238	135	395	204	293	484	390	415	395	411	308	218	252	388	328
662	178	643	610	281	246	354	551	578	110	710	629	199	203	274	528	167	437	496	651	375	654	404	132	243	0	119	394	521	437	326	442	191	297	451	328	237	283	262	190	287	479	631	570
778	249	750	709	387	352	431	666	698	216	821	747	226	307	351	648	256	553	613	746	345	773	523	252	363	119	0	510	617	548	440	507	279	366	479	358	204	295	252	227	377	594	751	690
268	322	281	294	155	293	274	159	207	299	328	241	406	221	278	179	286	211	242	343	587	277	109	267	166	394	510	0	240	91	226	352	367	442	481	425	514	560	578	474	225	86	263	231
