天天餐厅
美食园风味奥运
一教
二教
三教
四教
逸夫图书馆
旧图
北浴
南浴
1、2号楼
3、4号楼
5、6号楼
7、8号楼
9号楼
10号楼
12号楼
13、14号楼
东门
西门
南门
北门
北操
南操
网球场
篮球场
奥运体育馆
游泳馆
材料楼
数理楼
能源楼
信息楼
艺设楼
生命楼
经管楼
科学楼
人文楼
软件楼
城建楼
月亮湖
知新园
礼堂
校医院
工程实践中心
